date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:56	270/270	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:06:49%20GMT	http://arquivos.info.ufrn.br/arquivos/20161501735b943222362be842553768f/Sinfonica.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20161501735b943222362be842553768f/Sinfonica.jpg	(from https://ceres.ufrn.br/noticias/18488122/orquestra-sinfonica-da-ufrn-abre-o-vii-seminario-de-ensino-pesquisa-e-extensao-do-ceres)
10:06:56	393800/393800	---M--	200	added ('OK')	image/jpeg	etag:%2260248-53b3c8da84514;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20161500213ada3259189e15ec3057063/semana_prevencao_2016.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20161500213ada3259189e15ec3057063/semana_prevencao_2016.jpg	(from https://ceres.ufrn.br/noticias/18603436/a-prevencao-ao-uso-de-drogas-e-o-tema-da-semana-no-ceres)
10:06:57	241966/241966	---M--	200	added ('OK')	image/jpeg	etag:%223b12e-53b3c8daf5995;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2016164124e2b73259199f2d3c831d2b2/semana_historia_2016.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2016164124e2b73259199f2d3c831d2b2/semana_historia_2016.jpg	(from https://ceres.ufrn.br/noticias/18603380/xii-semana-de-estudos-historicos-do-ceres-comeca-neste-dia-01-06)
10:06:59	82248/82248	---M--	200	added ('OK')	image/jpeg	etag:%2214148-53b3b9e22c0d1;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20161501735b943222362be842553768f/Sinfonica.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20161501735b943222362be842553768f/Sinfonica.jpg	(from https://ceres.ufrn.br/noticias/18488122/orquestra-sinfonica-da-ufrn-abre-o-vii-seminario-de-ensino-pesquisa-e-extensao-do-ceres)
10:07:00	61398/61398	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:55%20GMT	https://ceres.ufrn.br/documentos/documento?id=266771741	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documento9d7f.html	(from https://ceres.ufrn.br/documentos/documento?id=261078757)
10:07:01	10886/10886	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:55%20GMT	https://ceres.ufrn.br/documentos/documento?id=266817732	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documentod68f.html	(from https://ceres.ufrn.br/documentos/documento?id=261078757)
10:07:01	15310/15310	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:56%20GMT	https://ceres.ufrn.br/documentos/documento?id=266926710	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documento3c0f.html	(from https://ceres.ufrn.br/documentos/documento?id=261078757)
10:07:02	35646/35646	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:56%20GMT	https://ceres.ufrn.br/documentos/documento?id=237032366	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documento3d7d.html	(from https://ceres.ufrn.br/documentos/documento?id=221431430)
10:07:02	22721/22721	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:57%20GMT	https://ceres.ufrn.br/documentos/documento?id=236876033	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documentoc5cd.html	(from https://ceres.ufrn.br/documentos/documento?id=221431430)
10:07:03	19914/19914	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:57%20GMT	https://ceres.ufrn.br/documentos/documento?id=237261839	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documentof188.html	(from https://ceres.ufrn.br/documentos/documento?id=188446170)
10:07:15	24464/24464	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2013:06:58%20GMT	https://ceres.ufrn.br/documentos/documento?id=237137404	C:/Meus%20Sites/CERES/ceres.ufrn.br/documentos/documento6320.html	(from https://ceres.ufrn.br/documentos/documento?id=188446170)
10:07:23	287/287	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:17%20GMT	http://arquivos.info.ufrn.br/arquivos/2018069079f79c5186147ae82e306e482/IMG_20180528_082015645_HDR.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018069079f79c5186147ae82e306e482/IMG_20180528_082015645_HDR.24e.delayed	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:24	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:18%20GMT	http://arquivos.info.ufrn.br/arquivos/201814714242205187296ac0e3b551ef8/IMG_20180529_072632003.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201814714242205187296ac0e3b551ef8/IMG_20180529_072632003.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:27	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:20%20GMT	http://arquivos.info.ufrn.br/arquivos/20180722186edf51873156aa81f801f8a/IMG_20180529_181742658.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20180722186edf51873156aa81f801f8a/IMG_20180529_181742658.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
